front,phonetic,translation,sentence,sentence_translation
"Kun je me de weg wijzen naar het museum?", "kun yuh muh duh vay vay-zen nar hut mu-say-um", "Can you show me the way to the museum?", "Kun je me de weg wijzen naar het museum?", "Can you show me the way to the museum?"
"Ik houd van vers brood in de ochtend.","ik howd fan vers broat in duh och-tend", "I love fresh bread in the morning.", "Ik houd van vers brood in de ochtend.", "I love fresh bread in the morning."
"De trein komt over tien minuten aan.", "duh trayn kompt ovur teen min-ooten aan", "The train will arrive in ten minutes.", "De trein komt over tien minuten aan.", "The train will arrive in ten minutes."
"Zij heeft een nieuw boek geschreven.", "zai heft ayn new book geshreven", "She has written a new book.", "Zij heeft een nieuw boek geschreven.", "She has written a new book."
"We moeten vroeg opstaan morgen.", "we mooten vrohg op-stahn mor-gen", "We need to get up early tomorrow.", "We moeten vroeg opstaan morgen.", "We need to get up early tomorrow."
"Wat is jouw favoriete film?", "vat is yow favo-ri-te film", "What is your favorite movie?", "Wat is jouw favoriete film?", "What is your favorite movie?"
"Het is belangrijk om gezond te eten.", "het is buh-lang-rike ohm guh-zohnd tuh ate-n", "It's important to eat healthily.", "Het is belangrijk om gezond te eten.", "It's important to eat healthily."
"Het weer is vandaag erg mooi.", "het veer is vandaag erg mooi", "The weather is very nice today.", "Het weer is vandaag erg mooi.", "The weather is very nice today."
"Kun je wat harder praten?", "kun yuh vat harder prate-n", "Can you speak a bit louder?", "Kun je wat harder praten?", "Can you speak a bit louder?"
"Mijn broer is doctor.", "meyn bro-er is doctor", "My brother is a doctor.", "Mijn broer is doctor.", "My brother is a doctor."
"Ik woon in een klein appartement.", "ik vohn in ayn kline ap-par-te-ment", "I live in a small apartment.", "Ik woon in een klein appartement.", "I live in a small apartment."
"Ze werkt als een leraar.", "zuh werkt ahlz ayn leh-rahr", "She works as a teacher.", "Ze werkt als een leraar.", "She works as a teacher."
"Hoe laat begint de vergadering?", "hoe laat be-gint duh ver-gah-der-ing", "What time does the meeting start?", "Hoe laat begint de vergadering?", "What time does the meeting start?"
"We moeten onze handen wassen.", "we mooten on-zuh han-den vah-ssen", "We need to wash our hands.", "We moeten onze handen wassen.", "We need to wash our hands."
"Het ontbijt is klaar.", "het ont-byt is klahr", "The breakfast is ready.", "Het ontbijt is klaar.", "The breakfast is ready."
"Ik heb koffie nodig.", "ik heb kof-fee no-dig", "I need coffee.", "Ik heb koffie nodig.", "I need coffee."
"Kun je me helpen?", "kun yuh muh help-en", "Can you help me?", "Kun je me helpen?", "Can you help me?"
"Kunnen we vanavond uiteten gaan?", "kun-nen we vana-vohnd out-eat-en gaan", "Can we go out to eat tonight?", "Kunnen we vanavond uiteten gaan?", "Can we go out to eat tonight?"
"We gaan naar de bioscoop.", "we gaan nar duh bio-skohp", "We're going to the cinema.", "We gaan naar de bioscoop.", "We're going to the cinema."
